liquidity_scale,q_economic_intended,mean,std,count,ci_low,ci_high,outcome,support_rate,clipping_rate,panel,x,x_min,x_max,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome_label,r2,beta,artifact_provenance
3.5,-60.0,0.5166666666666667,0.5520889963466086,60.0,0.37696887608631424,0.6563644572470192,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-30.0,0.325,0.3776039535845882,60.0,0.22945301685191438,0.42054698314808564,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-10.0,0.09166666666666666,0.29818187298783116,60.0,0.016216242689443383,0.16711709064388994,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,-0.0,0.0,0.0,60.0,0.0,0.0,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,10.0,-0.15833333333333333,0.29818187298783116,60.0,-0.23378375731055662,-0.08288290935611005,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,30.0,-0.275,0.41604473357919464,60.0,-0.3802738425293955,-0.16972615747060454,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,60.0,-0.4666666666666667,0.5030977485864634,60.0,-0.5939679611836015,-0.33936537214973184,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,100.0,-0.2833333333333333,0.6533269917828977,60.0,-0.44864787117512617,-0.11801879549154046,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,160.0,-0.3416666666666667,0.9893143776642019,60.0,-0.5919977431119912,-0.09133559022134213,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
3.5,260.0,-0.44166666666666665,1.6262978302784399,60.0,-0.8531767949592547,-0.030156538374078612,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-260.0,0.06666666666666667,0.954324087130172,60.0,-0.1748106446941971,0.30814397802753046,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-160.0,0.5,0.5042194840896108,60.0,0.3724148672387926,0.6275851327612074,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-100.0,0.058333333333333334,0.49652748969477895,60.0,-0.06730545630344083,0.1839721229701075,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-60.0,0.43333333333333335,0.2515488742932317,60.0,0.36968268607486593,0.49698398059180077,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-30.0,0.025,0.10989208882554138,60.0,-0.002806535020216168,0.05280653502021617,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-10.0,0.0,0.0,60.0,0.0,0.0,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,-0.0,0.0,0.0,60.0,0.0,0.0,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
10.0,10.0,0.0,0.0,60.0,0.0,0.0,propagation_residual,1.0,0.0,decomposition,,,,,,,,,,,,,,,plots/build_evidence_synthesis_figures.py
