x,x_min,x_max,mean,ci_low,ci_high,n,setting_id,setting_label,source_run_name,horizon,proxy,proxy_label,proxy_long_label,outcome,outcome_label
60.0,60.0,60.0,-0.696875,-0.7552067364516987,-0.6385432635483014,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
120.0,120.0,120.0,-1.3427083333333334,-1.4458238621294783,-1.2395928045371885,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
200.0,200.0,200.0,-2.1145833333333335,-2.2781738037694605,-1.9509928628972064,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
300.0,300.0,300.0,-3.1791666666666667,-3.430165930454782,-2.9281674028785516,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
420.0,420.0,420.0,-4.6125,-4.98510886398265,-4.2398911360173495,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,75.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-420.0,-420.0,-420.0,4.505208333333333,4.122287059353079,4.888129607313587,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-300.0,-300.0,-300.0,3.042708333333333,2.7947131762364905,3.2907034904301757,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-200.0,-200.0,-200.0,2.0166666666666666,1.8584146705640237,2.1749186627693096,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-120.0,-120.0,-120.0,1.2010416666666666,1.102867110088325,1.2992162232450082,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-60.0,-60.0,-60.0,0.6,0.5420916244551244,0.6579083755448756,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-30.0,-30.0,-30.0,0.2635416666666667,0.21962866337729237,0.307454669956041,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-10.0,-10.0,-10.0,0.057291666666666664,0.028337629171710343,0.08624570416162299,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
10.0,10.0,10.0,-0.075,-0.10340803938080517,-0.04659196061919482,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
30.0,30.0,30.0,-0.26458333333333334,-0.30614793187452594,-0.2230187347921407,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
60.0,60.0,60.0,-0.5979166666666667,-0.6510393302186555,-0.5447940031146778,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
120.0,120.0,120.0,-1.2333333333333334,-1.3329454504716118,-1.133721216195055,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
200.0,200.0,200.0,-2.051041666666667,-2.2099328697000193,-1.8921504636333146,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
300.0,300.0,300.0,-3.0697916666666667,-3.317332897242359,-2.8222504360909744,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
420.0,420.0,420.0,-4.539583333333334,-4.920569146214441,-4.1585975204522265,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,150.0,x_lots,x lots,treatment size $x$ (lots),total_impact,total impact
-420.0,-420.0,-420.0,4.722916666666666,4.612729830717902,4.8331035026154305,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-300.0,-300.0,-300.0,3.3270833333333334,3.2514741328130454,3.4026925338536214,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-200.0,-200.0,-200.0,2.472916666666667,2.4290539286006063,2.5167794047327274,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-120.0,-120.0,-120.0,1.725,1.7010954402896057,1.7489045597103945,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-60.0,-60.0,-60.0,1.0416666666666667,1.027118814910431,1.0562145184229024,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-30.0,-30.0,-30.0,0.6291666666666667,0.6095668087455857,0.6487665245877476,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
-10.0,-10.0,-10.0,0.29583333333333334,0.27344777163014305,0.3182188950365236,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
0.0,0.0,0.0,0.0,0.0,0.0,480.0,extended_ladder_20260514_140026_medium,"medium
L=2,3.5, |x|<=420",extended_ladder_20260514_140026_medium,0.0,x_lots,x lots,treatment size $x$ (lots),mechanics,mechanics
