rho_alpha,rho_z,lambda_z,n_rows,residualizer,mean_estimate,bias,rmse,median_abs_error,ci_coverage,median_first_stage_f,weak_iv_failure_rate,n_rep
0.5,0.0,0.2,3000,linear_lag,0.41576872735257747,-0.004231272647422523,0.11934824438194223,0.08047557304851513,0.952,39.55549717161483,0.0,500
0.5,0.0,0.5,1200,flexible_crossfit,0.4154011535903154,-0.004598846409684578,0.07549675824589593,0.04845107614285962,0.95,96.12423034453002,0.0,500
0.5,0.0,0.5,1200,linear_lag,0.41515197119288405,-0.004848028807115955,0.07512002162427059,0.049780771205768015,0.95,98.4872652609606,0.0,500
0.5,0.0,0.5,3000,flexible_crossfit,0.4208264328443133,0.0008264328443133293,0.046043817284320866,0.03226170242073492,0.96,242.43098626067044,0.0,500
0.5,0.0,0.5,3000,linear_lag,0.4207914081287223,0.0007914081287222994,0.04609856786157674,0.032317044810103585,0.952,246.28132244089554,0.0,500
0.5,0.62,0.05,1200,flexible_crossfit,0.8455752001788087,0.4255752001788087,7.933199640210099,0.49497570414458575,0.974,0.9668017461181228,0.984,500
0.5,0.62,0.05,1200,linear_lag,0.6698636358415284,0.24986363584152838,4.34834446899149,0.4958726664485508,0.978,0.9937692258500486,0.986,500
0.5,0.62,0.05,3000,flexible_crossfit,0.533227053374043,0.1132270533740429,3.4248908958294457,0.3067549005656295,0.964,2.516312606231166,0.942,500
0.5,0.62,0.05,3000,linear_lag,0.6171249667898998,0.19712496678989977,5.156189517733716,0.31204484014698,0.964,2.555574573310502,0.938,500
0.5,0.62,0.2,1200,flexible_crossfit,0.39154832312598187,-0.028451676874018107,0.214108230804057,0.12645940735471073,0.95,15.317637695543045,0.232,500
0.5,0.62,0.2,1200,linear_lag,0.39082776596871854,-0.02917223403128145,0.21220095209248332,0.12524746261205835,0.956,15.578277698590254,0.214,500
0.5,0.62,0.2,3000,flexible_crossfit,0.4160819984734121,-0.00391800152658788,0.11931043117009382,0.07813170552615673,0.96,38.838786247756744,0.0,500
0.5,0.62,0.2,3000,linear_lag,0.41574565774658634,-0.004254342253413638,0.1195489095901031,0.080428730385676,0.956,39.59461010184289,0.0,500
0.5,0.62,0.5,1200,flexible_crossfit,0.4154350541008072,-0.004564945899192734,0.07553733371305842,0.049975553398797945,0.95,96.78841054118604,0.0,500
0.5,0.62,0.5,1200,linear_lag,0.41495101593781425,-0.005048984062185756,0.07524218000681593,0.04928134387815572,0.952,98.3587231708988,0.0,500
0.5,0.62,0.5,3000,flexible_crossfit,0.4208769827165489,0.0008769827165489017,0.046198489295537694,0.03217859290054309,0.96,242.90698510115777,0.0,500
0.5,0.62,0.5,3000,linear_lag,0.4207858720169761,0.000785872016976087,0.04624657354920985,0.03180252036643519,0.95,245.91841039899208,0.0,500
0.5,0.85,0.05,1200,flexible_crossfit,0.2549912898075183,-0.1650087101924817,6.809317506705458,0.48295704839683956,0.974,1.0201956658109799,0.988,500
0.5,0.85,0.05,1200,linear_lag,0.6911792012096116,0.2711792012096116,3.7164137656890714,0.49059034648563654,0.98,1.0046317614931137,0.986,500
0.5,0.85,0.05,3000,flexible_crossfit,1.254446505748405,0.834446505748405,17.498667825214913,0.3096944519063881,0.964,2.464213855617608,0.942,500
0.5,0.85,0.05,3000,linear_lag,0.6452795173030585,0.2252795173030587,10.581842318363146,0.30477381984037283,0.964,2.6109983261484704,0.938,500
0.5,0.85,0.2,1200,flexible_crossfit,0.39150439154944383,-0.028495608450556174,0.21426083357671374,0.1274864967532675,0.954,15.286122833354607,0.238,500
